coordinates,favorited,user,favorite_count,contributors,quoted_status,in_reply_to_user_id,truncated,lang,text,in_reply_to_status_id,id_str,quoted_status_id_str,geo,in_reply_to_screen_name,retweet_count,is_quote_status,extended_entities,in_reply_to_user_id_str,created_at,id,retweeted,possibly_sensitive,entities,quoted_status_id,in_reply_to_status_id_str,place,source
,False,"{'profile_background_tile': False, 'screen_name': 'AbdMalekHussin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Wed Nov 28 11:02:32 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '975891055', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'C0DEED', 'profile_link_color': '1DA1F2', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 29, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_text_color': '333333', 'description': 'Head of Parliamentary Affairs Office of the Opposition Leader Parliament of Malaysia', 'favourites_count': 291, 'follow_request_sent': None, 'id': 975891055, 'default_profile': True, 'statuses_count': 56475, 'profile_image_url': 'http://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'C0DEED', 'listed_count': 138, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'followers_count': 41258, 'geo_enabled': True, 'location': '', 'profile_sidebar_fill_color': 'DDEEF6', 'name': 'Malek Hussin'}",7,,,,False,in,Yaman jadi Islam hasil kejayaan Ali bin Abu Talib sbg utusan Nabi SAW ajak kota Sana'a peluk Islam. Antara mereka..famili Ammar bin Yasir.,,872855267146293248,,,,8,False,,,Thu Jun 08 16:38:07 +0000 2017,872855267146293248,False,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
,False,"{'profile_background_tile': False, 'screen_name': 'AbdMalekHussin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Wed Nov 28 11:02:32 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '975891055', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'C0DEED', 'profile_link_color': '1DA1F2', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 29, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_text_color': '333333', 'description': 'Head of Parliamentary Affairs Office of the Opposition Leader Parliament of Malaysia', 'favourites_count': 291, 'follow_request_sent': None, 'id': 975891055, 'default_profile': True, 'statuses_count': 56475, 'profile_image_url': 'http://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'C0DEED', 'listed_count': 138, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'followers_count': 41258, 'geo_enabled': True, 'location': '', 'profile_sidebar_fill_color': 'DDEEF6', 'name': 'Malek Hussin'}",20,,,,False,in,"Mekah zaman jahiliyah pernah diserang Yaman yg dipimpin Abrahah, raja Kristian. Abrahah nak leburkan Ka'abah, tapi tewas dgn bantuan langit.",,872852853571805184,,,,18,False,,,Thu Jun 08 16:28:31 +0000 2017,872852853571805184,False,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
,False,"{'profile_background_tile': False, 'screen_name': 'AbdMalekHussin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Wed Nov 28 11:02:32 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '975891055', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'C0DEED', 'profile_link_color': '1DA1F2', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 29, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_text_color': '333333', 'description': 'Head of Parliamentary Affairs Office of the Opposition Leader Parliament of Malaysia', 'favourites_count': 291, 'follow_request_sent': None, 'id': 975891055, 'default_profile': True, 'statuses_count': 56475, 'profile_image_url': 'http://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'C0DEED', 'listed_count': 138, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'followers_count': 41258, 'geo_enabled': True, 'location': '', 'profile_sidebar_fill_color': 'DDEEF6', 'name': 'Malek Hussin'}",15,,,,False,in,"Yaman punyai latar sejarah kenegaraan yg panjang beribu tahun. Ia pernah diperintah Yahudi, Kristian; kemudiannya hingga kini menjadi Islam.",,872850482816925697,,,,13,False,,,Thu Jun 08 16:19:06 +0000 2017,872850482816925697,False,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
,False,"{'profile_background_tile': False, 'screen_name': 'AbdMalekHussin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Wed Nov 28 11:02:32 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '975891055', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'C0DEED', 'profile_link_color': '1DA1F2', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 29, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_text_color': '333333', 'description': 'Head of Parliamentary Affairs Office of the Opposition Leader Parliament of Malaysia', 'favourites_count': 291, 'follow_request_sent': None, 'id': 975891055, 'default_profile': True, 'statuses_count': 56475, 'profile_image_url': 'http://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'C0DEED', 'listed_count': 138, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'followers_count': 41258, 'geo_enabled': True, 'location': '', 'profile_sidebar_fill_color': 'DDEEF6', 'name': 'Malek Hussin'}",23,,,,False,in,Negara Arab Saudi lahir di bumi Hijaz hasil dari pemberontakan terhadap Khilafah Uthmaniyah atas dorongan British yg nak musnahkan khilafah.,,872848743921405952,,,,30,False,,,Thu Jun 08 16:12:11 +0000 2017,872848743921405952,False,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
,False,"{'profile_background_tile': False, 'screen_name': 'AbdMalekHussin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Wed Nov 28 11:02:32 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '975891055', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'C0DEED', 'profile_link_color': '1DA1F2', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 29, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_text_color': '333333', 'description': 'Head of Parliamentary Affairs Office of the Opposition Leader Parliament of Malaysia', 'favourites_count': 291, 'follow_request_sent': None, 'id': 975891055, 'default_profile': True, 'statuses_count': 56475, 'profile_image_url': 'http://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'C0DEED', 'listed_count': 138, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'followers_count': 41258, 'geo_enabled': True, 'location': '', 'profile_sidebar_fill_color': 'DDEEF6', 'name': 'Malek Hussin'}",16,,,,False,in,Arab Saudi jadi negara bani Al-Saud sejak 1932. Yaman jadi republik 1918. Walau sama2 Islam &amp; berjiran; latar politik &amp; pemikiran berbeza.,,872846192211656704,,,,19,False,,,Thu Jun 08 16:02:03 +0000 2017,872846192211656704,False,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
,False,"{'profile_background_tile': False, 'screen_name': 'AbdMalekHussin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Wed Nov 28 11:02:32 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '975891055', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'C0DEED', 'profile_link_color': '1DA1F2', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 29, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_text_color': '333333', 'description': 'Head of Parliamentary Affairs Office of the Opposition Leader Parliament of Malaysia', 'favourites_count': 291, 'follow_request_sent': None, 'id': 975891055, 'default_profile': True, 'statuses_count': 56475, 'profile_image_url': 'http://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'C0DEED', 'listed_count': 138, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'followers_count': 41258, 'geo_enabled': True, 'location': '', 'profile_sidebar_fill_color': 'DDEEF6', 'name': 'Malek Hussin'}",51,,,,False,in,Aku nak sentuh kini mengenai isu perang di Yaman. Untuk fahami perkembangan situ perlu garapi dulu apa itu Arab Saudi dan apa itu Yaman.,,872840195741163520,,,,50,False,,,Thu Jun 08 15:38:13 +0000 2017,872840195741163520,False,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
,False,"{'profile_background_tile': False, 'screen_name': 'AbdMalekHussin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Wed Nov 28 11:02:32 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '975891055', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'C0DEED', 'profile_link_color': '1DA1F2', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 29, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_text_color': '333333', 'description': 'Head of Parliamentary Affairs Office of the Opposition Leader Parliament of Malaysia', 'favourites_count': 291, 'follow_request_sent': None, 'id': 975891055, 'default_profile': True, 'statuses_count': 56475, 'profile_image_url': 'http://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'C0DEED', 'listed_count': 138, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'followers_count': 41258, 'geo_enabled': True, 'location': '', 'profile_sidebar_fill_color': 'DDEEF6', 'name': 'Malek Hussin'}",9,,"{'coordinates': None, 'favorited': False, 'geo': None, 'in_reply_to_user_id': 975891055, 'truncated': True, 'lang': 'in', 'text': '@AbdMalekHussin Pak Malek, kenapa Yaman ambil langkah untuk putus hubungan diplomatik dengan Qatar? Sedangkan merek… https://t.co/LEqXG2UpvC', 'in_reply_to_status_id': 872814988175458305, 'user': {'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1295137218/1478089873', 'profile_background_tile': True, 'screen_name': 'arerxf', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/872739709771853824/GH6gMXSu_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Sun Mar 24 12:47:40 +0000 2013', 'lang': 'en-gb', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '1295137218', 'is_translator': False, 'has_extended_profile': True, 'url': None, 'profile_background_color': '0099B9', 'profile_link_color': '3C3940', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 354, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000115760025/dbd1beaeb57822274a21808621a9ad7a.png', 'profile_text_color': '0099B9', 'description': 'id: hrharifalex', 'favourites_count': 41389, 'follow_request_sent': None, 'id': 1295137218, 'default_profile': False, 'statuses_count': 46015, 'profile_image_url': 'http://pbs.twimg.com/profile_images/872739709771853824/GH6gMXSu_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': '5ED4DC', 'listed_count': 9, 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000115760025/dbd1beaeb57822274a21808621a9ad7a.png', 'followers_count': 1662, 'geo_enabled': True, 'location': '', 'profile_sidebar_fill_color': '95E8EC', 'name': 'frikke'}, 'in_reply_to_screen_name': 'AbdMalekHussin', 'retweet_count': 0, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_user_id_str': '975891055', 'created_at': 'Thu Jun 08 14:46:13 +0000 2017', 'id': 872827109269319680, 'retweeted': False, 'possibly_sensitive': False, 'place': None, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'indices': [0, 15], 'id': 975891055, 'id_str': '975891055', 'screen_name': 'AbdMalekHussin', 'name': 'Malek Hussin'}], 'urls': [{'url': 'https://t.co/LEqXG2UpvC', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/8…', 'expanded_url': 'https://twitter.com/i/web/status/872827109269319680'}]}, 'id_str': '872827109269319680', 'in_reply_to_status_id_str': '872814988175458305', 'favorite_count': 1, 'contributors': None, 'is_quote_status': False}",,True,in,Yaman perang saudara. Rebutan kuasa fraksi bekas Presiden Saleh dan bekas Naib Presiden Hadi. Arab Saudi nobatkan H… https://t.co/Rlqg5Krmnk,,872831316072345600,872827109269319680,,,25,True,,,Thu Jun 08 15:02:56 +0000 2017,872831316072345600,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Rlqg5Krmnk', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/8…', 'expanded_url': 'https://twitter.com/i/web/status/872831316072345600'}]}",872827109269319680,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
,False,"{'profile_background_tile': False, 'screen_name': 'AbdMalekHussin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Wed Nov 28 11:02:32 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '975891055', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'C0DEED', 'profile_link_color': '1DA1F2', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 29, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_text_color': '333333', 'description': 'Head of Parliamentary Affairs Office of the Opposition Leader Parliament of Malaysia', 'favourites_count': 291, 'follow_request_sent': None, 'id': 975891055, 'default_profile': True, 'statuses_count': 56475, 'profile_image_url': 'http://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'C0DEED', 'listed_count': 138, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'followers_count': 41258, 'geo_enabled': True, 'location': '', 'profile_sidebar_fill_color': 'DDEEF6', 'name': 'Malek Hussin'}",15,,"{'coordinates': None, 'favorited': False, 'geo': None, 'in_reply_to_user_id': 572446190, 'truncated': True, 'lang': 'in', 'text': '@AmirahAdan @AbdMalekHussin It means tiada beza Mekkah dgn Manhattan yg banyak bangunan2 tinggi seperti berlumba2 m… https://t.co/32742roHfS', 'in_reply_to_status_id': 872775576263589889, 'user': {'profile_banner_url': 'https://pbs.twimg.com/profile_banners/752457493033267200/1468235588', 'profile_background_tile': False, 'screen_name': 'FmasonryMalay', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/752467958614466561/M_W58jU-_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Mon Jul 11 11:00:21 +0000 2016', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '752457493033267200', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'F5F8FA', 'profile_link_color': '1DA1F2', 'time_zone': 'Pacific Time (US & Canada)', 'notifications': None, 'friends_count': 9, 'utc_offset': -25200, 'verified': False, 'profile_background_image_url_https': None, 'profile_text_color': '333333', 'description': 'Second account for @FreemasonMalay', 'favourites_count': 64, 'follow_request_sent': None, 'id': 752457493033267200, 'default_profile': True, 'statuses_count': 2455, 'profile_image_url': 'http://pbs.twimg.com/profile_images/752467958614466561/M_W58jU-_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'C0DEED', 'listed_count': 6, 'profile_background_image_url': None, 'followers_count': 638, 'geo_enabled': False, 'location': 'Middle East', 'profile_sidebar_fill_color': 'DDEEF6', 'name': 'Comrade'}, 'in_reply_to_screen_name': 'AmirahAdan', 'retweet_count': 1, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_user_id_str': '572446190', 'created_at': 'Thu Jun 08 13:54:20 +0000 2017', 'id': 872814050798780421, 'retweeted': False, 'place': None, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'indices': [0, 11], 'id': 572446190, 'id_str': '572446190', 'screen_name': 'AmirahAdan', 'name': 'Migos 💸'}, {'indices': [12, 27], 'id': 975891055, 'id_str': '975891055', 'screen_name': 'AbdMalekHussin', 'name': 'Malek Hussin'}], 'urls': [{'url': 'https://t.co/32742roHfS', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/8…', 'expanded_url': 'https://twitter.com/i/web/status/872814050798780421'}]}, 'id_str': '872814050798780421', 'in_reply_to_status_id_str': '872775576263589889', 'favorite_count': 1, 'contributors': None, 'is_quote_status': False}",,True,in,Haji &amp; umrah itu ibadah. Pemerintah Saudi buat duit. Bina hotel sewa mahal. Menjelang 2020 hasil dari umrah saja di… https://t.co/ug9yu2DLYm,,872823348224434178,872814050798780421,,,39,True,,,Thu Jun 08 14:31:17 +0000 2017,872823348224434178,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ug9yu2DLYm', 'indices': [121, 144], 'display_url': 'twitter.com/i/web/status/8…', 'expanded_url': 'https://twitter.com/i/web/status/872823348224434178'}]}",872814050798780421,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
,False,"{'profile_background_tile': False, 'screen_name': 'AbdMalekHussin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Wed Nov 28 11:02:32 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '975891055', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'C0DEED', 'profile_link_color': '1DA1F2', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 29, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_text_color': '333333', 'description': 'Head of Parliamentary Affairs Office of the Opposition Leader Parliament of Malaysia', 'favourites_count': 291, 'follow_request_sent': None, 'id': 975891055, 'default_profile': True, 'statuses_count': 56475, 'profile_image_url': 'http://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'C0DEED', 'listed_count': 138, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'followers_count': 41258, 'geo_enabled': True, 'location': '', 'profile_sidebar_fill_color': 'DDEEF6', 'name': 'Malek Hussin'}",7,,"{'coordinates': None, 'favorited': False, 'geo': None, 'in_reply_to_user_id': 975891055, 'truncated': False, 'lang': 'in', 'text': '@AbdMalekHussin mula mula tuduh support terrorism. Basically, diorg nak hancurkan IM. Such a coward.', 'in_reply_to_status_id': 872547153901572097, 'user': {'profile_banner_url': 'https://pbs.twimg.com/profile_banners/771327230/1467231554', 'profile_background_tile': True, 'screen_name': 'anizzaznan', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/858718842012319744/Igdp6GQv_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Tue Aug 21 11:23:19 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '771327230', 'is_translator': False, 'has_extended_profile': True, 'url': 'https://t.co/uaYPMNF4OM', 'profile_background_color': 'FF6699', 'profile_link_color': '3B94D9', 'time_zone': 'Beijing', 'notifications': None, 'friends_count': 441, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/863484240/d6f268fcd16acf7a988490dccb37e063.jpeg', 'profile_text_color': '362720', 'description': 'A sinful Muslim. Artmateur. Oddly romantic. I make arts, I type alphabets and sometimes write some random poems. Medico. 💉💊🎨 . 22', 'favourites_count': 12997, 'follow_request_sent': None, 'id': 771327230, 'default_profile': False, 'statuses_count': 14230, 'profile_image_url': 'http://pbs.twimg.com/profile_images/858718842012319744/Igdp6GQv_normal.jpg', 'protected': False, 'entities': {'url': {'urls': [{'url': 'https://t.co/uaYPMNF4OM', 'indices': [0, 23], 'display_url': 'anizzaznan.blogspot.my', 'expanded_url': 'http://anizzaznan.blogspot.my'}]}, 'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'FFFFFF', 'listed_count': 10, 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/863484240/d6f268fcd16acf7a988490dccb37e063.jpeg', 'followers_count': 407, 'geo_enabled': True, 'location': 'Malaysia', 'profile_sidebar_fill_color': 'E5507E', 'name': 'Anis Aznan'}, 'in_reply_to_screen_name': 'AbdMalekHussin', 'retweet_count': 0, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_user_id_str': '975891055', 'created_at': 'Thu Jun 08 13:40:07 +0000 2017', 'id': 872810473661505536, 'retweeted': False, 'place': None, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'indices': [0, 15], 'id': 975891055, 'id_str': '975891055', 'screen_name': 'AbdMalekHussin', 'name': 'Malek Hussin'}], 'urls': []}, 'id_str': '872810473661505536', 'in_reply_to_status_id_str': '872547153901572097', 'favorite_count': 0, 'contributors': None, 'is_quote_status': False}",,True,en,Dictatorship breeds terrorism. Dictators need terrorism happenstance..to justify their authoritarian rule to suppre… https://t.co/0j9WnCaTcu,,872819294882603008,872810473661505536,,,12,True,,,Thu Jun 08 14:15:10 +0000 2017,872819294882603008,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0j9WnCaTcu', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/8…', 'expanded_url': 'https://twitter.com/i/web/status/872819294882603008'}]}",872810473661505536,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
,False,"{'profile_background_tile': False, 'screen_name': 'AbdMalekHussin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'following': None, 'profile_use_background_image': True, 'translator_type': 'none', 'created_at': 'Wed Nov 28 11:02:32 +0000 2012', 'lang': 'en', 'default_profile_image': False, 'is_translation_enabled': False, 'id_str': '975891055', 'is_translator': False, 'has_extended_profile': False, 'url': None, 'profile_background_color': 'C0DEED', 'profile_link_color': '1DA1F2', 'time_zone': 'Kuala Lumpur', 'notifications': None, 'friends_count': 29, 'utc_offset': 28800, 'verified': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_text_color': '333333', 'description': 'Head of Parliamentary Affairs Office of the Opposition Leader Parliament of Malaysia', 'favourites_count': 291, 'follow_request_sent': None, 'id': 975891055, 'default_profile': True, 'statuses_count': 56475, 'profile_image_url': 'http://pbs.twimg.com/profile_images/764497395811950594/pAyTIxYg_normal.jpg', 'protected': False, 'entities': {'description': {'urls': []}}, 'contributors_enabled': False, 'profile_sidebar_border_color': 'C0DEED', 'listed_count': 138, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'followers_count': 41258, 'geo_enabled': True, 'location': '', 'profile_sidebar_fill_color': 'DDEEF6', 'name': 'Malek Hussin'}",27,,,,True,in,"Yaman amat kritikal kini dilanda wabak taun akibat diperangi Arab Saudi. 

Laporan WHO: 101,820 kes; 789 mati. Taun… https://t.co/ZtCBZsrciv",,872814988175458305,,,,87,False,,,Thu Jun 08 13:58:03 +0000 2017,872814988175458305,False,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZtCBZsrciv', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/8…', 'expanded_url': 'https://twitter.com/i/web/status/872814988175458305'}]}",,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
