username,time,avatar_title,group,post_count,join_date,from,text
FlamingFox,"  Jul 11 2017, 10:37 AM, updated 5h ago",o(@_@)o,Group: Senior Member,"Posts: 1,076",Joined: Oct 2005,,Tahukah Anda Bahawa Tamadun Barat Dulu Sangat Pengotor?Sos Sangat BusukTLDR:- High heels were created so that feet won't sink in ammoshaf- Paris famous with perfume coz got ammoshaf smell on people- Elite lady wear big dress so can ammoshaf without people knowingPRC kalah teruk
ozak,"  Jul 11 2017, 10:40 AM",10k Club,Group: Senior Member,"Posts: 11,612",Joined: Jan 2005,,Is this writer stay in the cave?
ah_suknat,"  Jul 11 2017, 10:42 AM",whoooooooooooooop,Group: Senior Member,"Posts: 4,296",Joined: Jul 2006,"From: /k//k/, /k/undasang",Zaman hari ni kita masih begitu
99FoxDemon,"  Jul 11 2017, 10:43 AM",New Member,Group: Junior Member,Posts: 19,Joined: Mar 2006,From: East Coast of Cuba.,Dafuq... berak sambil jalan2 dalam rumah?
zaini900,"  Jul 11 2017, 10:44 AM",New Member,Group: Junior Member,Posts: 37,Joined: Aug 2007,,PRC sampai sekarang berak tepi jalan.
makky,"  Jul 11 2017, 10:45 AM",Getting Started,Group: Junior Member,Posts: 196,Joined: Jul 2009,,Tetapi zaman dah berubah...penulis ni mesti duduk dalam gua saja...So di malaysia ada tak orang buat film shooting di tempat setinggan??
arif85124,"  Jul 11 2017, 10:45 AM",New Member,Group: Junior Member,Posts: 20,Joined: Mar 2009,From: inside Marisa hat,"syukur eastern pipu that time shit in toilet, drink treat water"
OldSchoolJoke,"  Jul 11 2017, 10:45 AM",Getting Started,Group: Junior Member,Posts: 196,Joined: Mar 2010,,so barat > india > PRC?
BS8110,"  Jul 11 2017, 10:46 AM",New Member,Group: New Member,Posts: 1,Joined: May 2015,From: Somewhere on this Planet,"In the old time, yes it was."
Lyu,"  Jul 11 2017, 10:46 AM",Getting Started,Group: Junior Member,Posts: 147,Joined: Jan 2015,,So tamadun islam terulung?
AllnGap,"  Jul 11 2017, 10:46 AM",[ Modding with Passion(tm) ],Group: Senior Member,"Posts: 3,672",Joined: Jan 2003,From: Penangites,KL sekarang camne nie ?cam Dhaka tu
cbm711,"  Jul 11 2017, 10:47 AM",Getting Started,Group: Junior Member,Posts: 132,Joined: Dec 2009,,Yindia pun kalah teruk
eksk,"  Jul 11 2017, 10:47 AM",Casual,Group: Junior Member,Posts: 381,Joined: Oct 2004,,skang tamadun mana lebih maju..
tescogot,"  Jul 11 2017, 10:48 AM",Getting Started,Group: Junior Member,Posts: 245,Joined: Apr 2015,,5000 yearsowaiii
xajimx,"  Jul 11 2017, 10:51 AM",Getting Started,Group: Junior Member,Posts: 61,Joined: Feb 2009,,"rasa macam betul, dulu The Plague/Black Death outbreak berpunca dari tikus. kimak omputih pengotor! jijik! yahudi!"
brycen-man,"  Jul 11 2017, 10:52 AM",New Member,Group: Junior Member,Posts: 39,Joined: May 2017,,"Tamadun Malaysia sekarang lagi pengotor. Masuk tandas awam bersih, keluar tandas basah dan penuh coklat! Sedar la sikit diri tu sebelum kutuk orang lain!!!"
netmatrix,"  Jul 11 2017, 10:55 AM",The machine... it sees everything.,Group: Senior Member,"Posts: 4,125",Joined: Jan 2003,From: Zion,Is so Ang Moh history = 2000 years. China history 10000 years.Summary even 1 million years also same la. People will still shit everywhere.
shuttet,"  Jul 11 2017, 11:02 AM",New Member,Group: New Member,Posts: 0,Joined: Aug 2015,From: Perak,"Ada bro, tapi cerita lama tahun 1981..boleh la layan"
