username,time,avatar_title,group,post_count,join_date,from,text
seiferalmercy,"  Jul 11 2017, 12:38 PM, updated 3h ago",New Member,Group: Junior Member,Posts: 37,Joined: May 2010,,"always feeling tired and sleepy, even when already had enough sleep the night before"
tescogot,"  Jul 11 2017, 12:39 PM",Getting Started,Group: Junior Member,Posts: 245,Joined: Apr 2015,,iron
RichAlphaMale,"  Jul 11 2017, 12:40 PM",New Member,Group: New Member,Posts: 0,Joined: Jun 2017,From: KJ,Gila fapping lettew
Kaerna,"  Jul 11 2017, 12:41 PM",Getting Started,Group: Junior Member,Posts: 282,Joined: Feb 2008,,"Iron, carbs"
StationMonkey,"  Jul 11 2017, 12:41 PM",New Member,Group: Junior Member,Posts: 15,Joined: Sep 2009,From: Border of Fantasy,Dying
Trait0r,"  Jul 11 2017, 12:41 PM",Getting Started,Group: Junior Member,Posts: 52,Joined: May 2013,,Maybe try testing blood sugar
Rusty Nail,"  Jul 11 2017, 12:41 PM",Why am I still here?,Group: Senior Member,"Posts: 4,544",Joined: Jan 2003,From: Petaling Jaya,You got AIDS
mz2020,"  Jul 11 2017, 12:45 PM",Getting Started,Group: Junior Member,Posts: 113,Joined: Apr 2007,,Stop fapping
myasiahobby,"  Jul 11 2017, 12:47 PM",Casual,Group: Junior Member,Posts: 455,Joined: Dec 2009,From: Russia,over fapping
Weirdppl,"  Jul 11 2017, 12:47 PM",New Member,Group: New Member,Posts: 0,Joined: Apr 2017,,Taking too much sugar
Perbaman,"  Jul 11 2017, 12:47 PM",Getting Started,Group: Junior Member,Posts: 55,Joined: Nov 2011,,HP low. need potion
koolio,"  Jul 11 2017, 12:47 PM",New Member,Group: New Member,Posts: 2,Joined: Sep 2015,,spermatozoathank me later...
kevraul,"  Jul 11 2017, 12:48 PM",Regular,Group: Senior Member,"Posts: 1,328",Joined: Jan 2003,From: penang,the nutrient called life....say byebye
Kam Tze,"  Jul 11 2017, 12:52 PM",New Member,Group: Junior Member,Posts: 26,Joined: Oct 2005,,sleep apnea?
desmond2020,"  Jul 11 2017, 12:53 PM",Getting Started,Group: Junior Member,Posts: 280,Joined: Jun 2005,,Diabetic Exercise lah
max_cavalera,"  Jul 11 2017, 12:54 PM",the world is so beautiful..,Group: Senior Member,"Posts: 4,500",Joined: Jun 2006,"From: Cyberjaya, Shah Alam, Ipoh",Diabetic...Gg
JonSpark,"  Jul 11 2017, 12:54 PM",Crunk,Group: Senior Member,"Posts: 4,336",Joined: May 2008,,You low lvl mage need to grind more before even thinking of whaling.
PeinEVO,"  Jul 11 2017, 12:54 PM",Getting Started,Group: Junior Member,Posts: 259,Joined: Jun 2013,,U xbyk minum air kot
Mr.Weezy,"  Jul 11 2017, 01:02 PM",Casual,Group: Junior Member,Posts: 374,Joined: Apr 2016,,Too much sugar intake
iGamer,"  Jul 11 2017, 01:04 PM",Casual,Group: Junior Member,Posts: 369,Joined: Feb 2016,From: BanhammerLand,"key in ""poweroverwhelming"" and punch the enter key."
amon_meiz,"  Jul 11 2017, 01:07 PM",On my way,Group: Senior Member,Posts: 666,Joined: Jan 2009,,Pahala
balberith,"  Jul 11 2017, 01:12 PM",New Member,Group: Junior Member,Posts: 7,Joined: Apr 2017,From: Mount Olympus,This
Blofeld,"  Jul 11 2017, 01:19 PM",Look at all my stars!!,Group: Senior Member,"Posts: 2,426",Joined: Mar 2012,,not enough batteryneed to recharge
RGRaj,"  Jul 11 2017, 01:21 PM",New Member,Group: Junior Member,Posts: 40,Joined: Apr 2013,,pelesit
