username,time,avatar_title,group,post_count,join_date,from,text
ycs,"  Jul 19 2017, 09:21 AM, updated 4h ago",MEMBER,Group: Senior Member,"Posts: 2,466",Joined: Jan 2003,From: Selangor,can reach Heaven faster now   VnciBhVAGPo
mafioso,"  Jul 19 2017, 09:23 AM",flower bridge,Group: Senior Member,"Posts: 3,709",Joined: Jul 2012,"From: Today, 00:01 AM",should tag that ah beng who keep doing drag race with other cars and keep puik puik on youtubehe will jizz while watching this
amxpayne67,"  Jul 19 2017, 09:29 AM",The Coon,Group: Senior Member,Posts: 683,Joined: Mar 2010,From: Puchong Extreme,he still puik puik
Jasonist,"  Jul 19 2017, 09:30 AM",gegegegege,Group: Senior Member,"Posts: 1,103",Joined: May 2006,From: Malaysia,when Honda gonna release their racing series?
apasarahannika,"  Jul 19 2017, 09:30 AM",New Member,Group: New Member,Posts: 3,Joined: Jan 2017,,Civic > all
Revamperz,"  Jul 19 2017, 09:30 AM",im freaking IN! ™,Group: Senior Member,"Posts: 4,878",Joined: Jan 2003,,its for sale?no way this is street legal thocan i has one for track use. look like Bobby having way too much fun. lol
ycs,"  Jul 19 2017, 09:34 AM",MEMBER,Group: Senior Member,"Posts: 2,466",Joined: Jan 2003,From: Selangor,i believe its for sale but only for track use
versey,"  Jul 19 2017, 09:50 AM",Casual,Group: Junior Member,Posts: 401,Joined: Jan 2007,,fuiyooo...macam ada toyota 86 DNA..
versey,"  Jul 19 2017, 09:53 AM",Casual,Group: Junior Member,Posts: 401,Joined: Jan 2007,,http://autobuzz.my/2017/07/18/toyota-vios-...spension-rm85k/85k only!!!
Rusty Nail,"  Jul 19 2017, 10:00 AM",Why am I still here?,Group: Senior Member,"Posts: 4,550",Joined: Jan 2003,From: Petaling Jaya,"road legal version, minus the roll cage"
hurricane21,"  Jul 19 2017, 10:04 AM",Senior Newbie,Group: Senior Member,"Posts: 1,114",Joined: Feb 2006,From: Melaka,Got enhanced rear fog lamp for sport mode?
Rusty Nail,"  Jul 19 2017, 10:06 AM",Why am I still here?,Group: Senior Member,"Posts: 4,550",Joined: Jan 2003,From: Petaling Jaya,"yes, HID rear fog lamps"
seather,"  Jul 19 2017, 10:12 AM",xXxXxXxXx,Group: Senior Member,"Posts: 1,042",Joined: Nov 2004,,"beyond cosmetics, anything done to the parts that actually move the car and keep the car on the road?coz i see the cornering and acceleration meh only..."
dadurtyz,"  Jul 19 2017, 10:14 AM",On my way,Group: Senior Member,Posts: 602,Joined: May 2006,From: Melaka,Honda type-R vios tgk awal2 tolak tepi kekeke
hurricane21,"  Jul 19 2017, 10:16 AM",Senior Newbie,Group: Senior Member,"Posts: 1,114",Joined: Feb 2006,From: Melaka,"Shit, assholes will be asser with this shitty goddamn sport tuned vios."
rcracer,"  Jul 19 2017, 10:17 AM",?????,Group: Senior Member,"Posts: 3,437",Joined: Jan 2003,,Not cvt meh
versey,"  Jul 19 2017, 11:57 AM",Casual,Group: Junior Member,Posts: 401,Joined: Jan 2007,,Only for those who know how to drive MT.
crash123,"  Jul 19 2017, 12:10 PM",Getting Started,Group: Junior Member,Posts: 271,Joined: Aug 2011,,"Typical retard ah beng ricer. Open fog lamp like every second got fog. Almost all toyota and perodua car will open their fog lamp. Thats not counting vios retarded version with retarded back fog lamp. Fuck u, hope this type of guys die in accident. So many time almost accident coz cheap white fog lamp and cheap white headlamp"
Error404,"  Jul 19 2017, 12:14 PM",Getting Started,Group: Junior Member,Posts: 180,Joined: Mar 2009,"From: Heilongjiang Province, China",Najib also carrying Razak DNA... so how?
0168257061,"  Jul 19 2017, 12:18 PM",10k Club,Group: Senior Member,"Posts: 14,183",Joined: Jul 2007,From: Tongshan,this is track car lar not road legal
