username,time,avatar_title,group,post_count,join_date,from,text
saintnotsinner,"  Jul 19 2017, 01:23 PM, updated 32m ago",New Member,Group: Junior Member,Posts: 7,Joined: Jan 2015,,why no more thread about MRT? suddenly so quiet  Day 3 = MRT Museum Negara to Kajang
versey,"  Jul 19 2017, 01:25 PM",Casual,Group: Junior Member,Posts: 401,Joined: Jan 2007,,people complain about the feeder bus kao kao...
sonic31s,"  Jul 19 2017, 01:26 PM",Getting Started,Group: Junior Member,Posts: 71,Joined: Apr 2016,,All needs to work and living expenses is difficult.MRT should be launch by 10 years ago...
doremon,"  Jul 19 2017, 01:28 PM",cLuElEss T_T,Group: Senior Member,"Posts: 2,240",Joined: Jan 2005,,Serious kah ? What happen ? Delay or just plain lazy to pick up people
versey,"  Jul 19 2017, 01:29 PM",Casual,Group: Junior Member,Posts: 401,Joined: Jan 2007,,delay 30 mins or MIA.
xperiaDROID,"  Jul 19 2017, 01:29 PM",Dahnald Trump,Group: Senior Member,"Posts: 1,547",Joined: Jun 2014,"From: KL, Mahresia",HypeJust like Despacito.
Baconateer,"  Jul 19 2017, 01:31 PM",Meh..... (TM),Group: Senior Member,"Posts: 1,998",Joined: Jun 2013,From: Blue Planet,anything to talk about mrt?? just another public transport... still new...
whyamiblack,"  Jul 19 2017, 01:32 PM",New Member,Group: Junior Member,Posts: 18,Joined: Feb 2014,,"People quiet because it's working perfect. If make noise hoohaa then more people use then MRT will be packed. Here's the truth. It's working fine, there's way more people using it now that the other half of the line is operational but you can still easily find a seat. The people who shuts up just don't want to lose that comfort."
daus89,"  Jul 19 2017, 01:33 PM",Casual,Group: Junior Member,Posts: 420,Joined: Aug 2009,,But ph still talking about it
yhcyber,"  Jul 19 2017, 01:40 PM",Getting Started,Group: Junior Member,Posts: 196,Joined: May 2006,From: Seremban/KL,"Every new launch system need fine tuning period, so give some time to see if they got improve or notit will be different story if the situation still the same after a month of coz..."
DIYHOMEFIX,"  Jul 19 2017, 01:45 PM",Getting Started,Group: Junior Member,Posts: 70,Joined: Jun 2017,,true very bad service   true lorjanji ktmb songlap
mafioso,"  Jul 19 2017, 01:45 PM",flower bridge,Group: Senior Member,"Posts: 3,709",Joined: Jul 2012,"From: Today, 00:01 AM",actually ever since MRT launchednoticed LDP not many cars in the morning liao
askingquestion,"  Jul 19 2017, 01:47 PM",New Member,Group: Junior Member,Posts: 20,Joined: Jun 2015,,Sure or not...
doremon,"  Jul 19 2017, 01:48 PM",cLuElEss T_T,Group: Senior Member,"Posts: 2,240",Joined: Jan 2005,,For now. Typical Malaysian. Last time Putra and star launching same situation and BOOM back to heavy traffic jam
vinothrao84,"  Jul 19 2017, 01:49 PM",Getting Started,Group: Junior Member,Posts: 245,Joined: Nov 2006,,"how long does it takes you from Kajang to Museum Negara? Are you heading to KL Sentral? If yes, how long is the walkway?"
mafioso,"  Jul 19 2017, 01:49 PM",flower bridge,Group: Senior Member,"Posts: 3,709",Joined: Jul 2012,"From: Today, 00:01 AM",sigh
weretiger,"  Jul 19 2017, 01:50 PM",Foyuuuuuuuuuuuh,Group: Senior Member,"Posts: 1,099",Joined: Jan 2003,,Mrt coz ge soonSo long nv do shit only cause currency drop come oit with all sort of tax all subsidies cut petrol price weekly change decrease 1cemt increase 10 cents all spend money in airplane holiday hotel family wedding birthday party diamond watches .......
everest,"  Jul 19 2017, 01:52 PM",Getting Started,Group: Junior Member,Posts: 61,Joined: Sep 2007,,Free ride
