username,time,avatar_title,group,post_count,join_date,from,text
Kim Bi Jan,"  Jul 19 2017, 08:51 AM, updated 8m ago",New Member,Group: New Member,Posts: 0,Joined: Jul 2016,,remind me of my wifu..but damn she's hotter...definitely hotter!!!! That seductive smile and looks of her..jst cant get enough yo! » Click to show Spoiler - click again to hide... «inb4 pepagi no drillz» Click to show Spoiler - click again to hide... «Added seductive smile that maketh man pancut » Click to show Spoiler - click again to hide... «TqsGHQQDAiA
Revamperz,"  Jul 19 2017, 08:53 AM",im freaking IN! ™,Group: Senior Member,"Posts: 4,878",Joined: Jan 2003,,ok we need to judge itdrill of waifu
lingleeyen,"  Jul 19 2017, 08:53 AM",Regular,Group: Senior Member,"Posts: 1,022",Joined: Jan 2011,,I should name myself Hellozeus.
max_cavalera,"  Jul 19 2017, 08:53 AM",the world is so beautiful..,Group: Senior Member,"Posts: 4,513",Joined: Jun 2006,"From: Cyberjaya, Shah Alam, Ipoh",Lol ts the face is typical look of many amoi...
otua,"  Jul 19 2017, 08:55 AM",Casual,Group: Junior Member,Posts: 486,Joined: May 2013,,NSK kuchai banyak this type of quality if you go about midnite..
OcHaa,"  Jul 19 2017, 09:18 AM",Getting Started,Group: Junior Member,Posts: 139,Joined: Dec 2007,,say no to non-degradable plastic
Kim Bi Jan,"  Jul 19 2017, 09:53 AM",New Member,Group: New Member,Posts: 0,Joined: Jul 2016,,looks unique to me tho lol
Kim Bi Jan,"  Jul 19 2017, 09:53 AM",New Member,Group: New Member,Posts: 0,Joined: Jul 2016,,ur making me horneee liao
Kim Bi Jan,"  Jul 19 2017, 09:54 AM",New Member,Group: New Member,Posts: 0,Joined: Jul 2016,,i am ok with plastic though..takes lotsa courage for thathaters gonna 8
JungWoo,"  Jul 19 2017, 09:57 AM",On my way,Group: Senior Member,Posts: 582,Joined: Feb 2012,,basically all kpok girl group also hawt
max_cavalera,"  Jul 19 2017, 09:58 AM",the world is so beautiful..,Group: Senior Member,"Posts: 4,513",Joined: Jun 2006,"From: Cyberjaya, Shah Alam, Ipoh",Armata naik miang dah
tiestoycc,"  Jul 19 2017, 10:04 AM",Getting Started,Group: Junior Member,Posts: 83,Joined: Dec 2006,,I'm glad you found out about HelloVenusAlice and Nara are love! They are waifus!
yeelong,"  Jul 19 2017, 10:06 AM",K for /K,Group: Senior Member,"Posts: 1,168",Joined: Jul 2007,"From: Sibu, Cheras Selangor",drill of your wife for comparison
ar188,"  Jul 19 2017, 10:06 AM",Look at all my stars!!,Group: Senior Member,"Posts: 8,106",Joined: Jun 2006,,dont let him find out about your sister.. nanti dia pester u.
ray123,"  Jul 19 2017, 10:07 AM",Senior Citizen,Group: Senior Member,"Posts: 2,450",Joined: Jan 2003,,"Pretty face to be sure but  hardly unique, a typical modern Korean beauty. Someone like Lee El's with her strong chin lines and long legs is different from the usual."
Szzz,"  Jul 19 2017, 10:09 AM",Getting Started,Group: Junior Member,Posts: 109,Joined: Dec 2006,,"she looks better real life, image like meh"
Kim Bi Jan,"  Jul 19 2017, 10:10 AM",New Member,Group: New Member,Posts: 0,Joined: Jul 2016,,if sekadar face then yes i agree..but some got pretty wide waist and huge hips...and short leg vs body ratio.so need to consider all..which this Kwon Narra nail it..except too bad she dont have D cup..owaii
Kim Bi Jan,"  Jul 19 2017, 10:10 AM",New Member,Group: New Member,Posts: 0,Joined: Jul 2016,,armata lagi..u ppl not bored with this fella?
Kim Bi Jan,"  Jul 19 2017, 10:11 AM",New Member,Group: New Member,Posts: 0,Joined: Jul 2016,,yes they are sir!!!
Kim Bi Jan,"  Jul 19 2017, 10:12 AM",New Member,Group: New Member,Posts: 0,Joined: Jul 2016,,googled Lee El.....cheek bone too strong for my taste and i think most aneroxia girl got such cheek bone so its hardly unique toosee how when we use our own preference and apply and force on others it doesnt really sound good? u thought everyone like the same thing izzzit
