username,time,avatar_title,group,post_count,join_date,from,text
BaoFatAuto,"  Jun 10 2016, 11:23 AM, updated 7 months ago",New Member,Group: New Member,Posts: 0,Joined: Jul 2015,From: Subang Jaya,"Hi guys, not sure if any of you have heard of ezbuy Malaysia or formerly known as 65Daigou Malaysia. They claim themselves as 'the only flat rate Taobao forwarder in Malaysia' and today I will show you guys how these crooks trying to slash my throat. I am trying my very best to stay calm as I am typing these, but I really beh tahan with their shitty service and how good they are in giving empty promises. I have been using 65daigou for more than six months and spent alot of money on their services. I will usually opt for their 'Buy-For-me' service, in which I will provide them the Taobao link and pay for the item in MYR (although they do earn from the RMB-MYR exchange rate so its ok I close one eye) and they will help me purchase the item. When I am about to check out the item for the delivery to Malaysia stage, this is what they charge me:For three pair of shoes only, how is it possible for it to weight 8.87KG? ARE THESE SHOES MADE OF STEEL?!!   And because it weighs 8.87KG, the delivery fee is automatically RM99.74. And this amount is delivery of the shoes, not including the cost price of the shoe. So ok lo, I screen shot this and personally inquire ezbuy Malaysia thinking maybe got error. Because for Buy-for-Me service, once item reach their warehouse, they will repack the items to save delivery cost. It is also promised on their website and policy. Then after I consult them, this was their reply:Ya ok I admit I was very pissed when replying them because I really cannot tahan with their shit service. As you guys can see, there are two similar pair of shoes I order, but how come only one pair weigh 7KG but another weigh less than 1KG? Make sense no? It's so obvious that there are errors somewhere but these guys can blatantly give this kind of unprofessional reply.I am so tired of their shit rude feedbacks and snail service. For all the money they spent on advertising and brand rebranding, they should have spend it better on increasing their services and efficiency. There were also couple of times which my parcel arrive much later than the promised ETA. And for those who are wondering why didn't I confront them on their Facebook page or other social media platform instead, this is because ezbuy Malaysia does not allow postings on their Facebook page. I am here just to express my frustration and alerting current and potential ezbuy users. So disappointed with their services. After all my parcels have arrived, I will never ever use their shit service again."
sunami,"  Jun 10 2016, 11:29 AM",Getting Started,Group: Junior Member,Posts: 211,Joined: Jul 2006,,hmmm...the screen shot is pretty small..can barely see the wording...appreciate if you can resize it?
chengsiong80,"  Jun 10 2016, 11:30 AM",Getting Started,Group: Junior Member,Posts: 175,Joined: May 2007,,"I never use ezbuy or 65daigou, normally I use taobao forwarder or wiwaa.For wiwaa, sometime the weight of the item can be very big due to the size of the packaging. But 1 good thing about wiwaa is u can opt for sea shipment if the weight of the item is very heavy. That will save a lot of $$, but it will take longer time to deliver to u."
b3arbear,"  Jun 10 2016, 11:34 AM",Getting Started,Group: Junior Member,Posts: 105,Joined: Aug 2010,,you should open an account and buy it yourself. I been doing that for months. kinda transparent and you can monitor it 24/7.I used to buy from few sellers and forward to Shenzhen warehouse. then only resend to Malaysia in one parcel. eta whole process take up to 2 weeks.
BaoFatAuto,"  Jun 10 2016, 11:37 AM",New Member,Group: New Member,Posts: 0,Joined: Jul 2015,From: Subang Jaya,"Sorry bro, just fixed the resolution"
BaoFatAuto,"  Jun 10 2016, 11:38 AM",New Member,Group: New Member,Posts: 0,Joined: Jul 2015,From: Subang Jaya,Taobao forwarder is it direct ship from taobao website itself? I am not very familiar with Chinese characters that's why abit susah
BaoFatAuto,"  Jun 10 2016, 11:40 AM",New Member,Group: New Member,Posts: 0,Joined: Jul 2015,From: Subang Jaya,"The Shenzhen warehouse address don't need Taobao forwarder or middle-person? Sorry bro, just asking cuz I not so familiar"
b3arbear,"  Jun 10 2016, 11:49 AM",Getting Started,Group: Junior Member,Posts: 105,Joined: Aug 2010,,"still need but you do everything on your own. whereby you deal directly with Taobao or 3rd party courier service provider.let say you buying item A from seller A. you pay once to taobao, taobao will hold the money until you have rec'd the item or upon the given notice period.then item A will send out by seller to your designated warehouse (got 4 choices, differences are the couriers' services and their price)when reach warehouse, they will repack and weigh again if you buying few items. then they will quote you the postage from warehouse to your doorstep. very transparent as you can see the weight of each item from your account."
dvinez,"  Jun 10 2016, 12:19 PM",Limited Edition,Group: Senior Member,"Posts: 1,448",Joined: Dec 2006,From: Paradise,"refering to their reply, ur item kena volumetric weightmaybe u seldom use postage"
damonlbs,"  Jun 10 2016, 01:21 PM",Casual,Group: Junior Member,Posts: 371,Joined: May 2005,From: KL,your shoe box must be very bighttp://www.online-calculators.co.uk/volumetric/weight.php
