username,time,avatar_title,group,post_count,join_date,from,text
kypronite,"  Jul 11 2017, 02:43 PM, updated 1h ago",Getting Started,Group: Junior Member,Posts: 70,Joined: Oct 2009,,read this thread
gsem984,"  Jul 11 2017, 02:44 PM",Getting Started,Group: Junior Member,Posts: 109,Joined: Oct 2015,,"dun click, got virus."
rcracer,"  Jul 11 2017, 02:44 PM",?????,Group: Senior Member,"Posts: 3,437",Joined: Jan 2003,,"Not stupid Lonely, desperate, but rich"
Lyu,"  Jul 11 2017, 02:44 PM",Getting Started,Group: Junior Member,Posts: 147,Joined: Jan 2015,,Lazy don't open tered la
JungWoo,"  Jul 11 2017, 02:45 PM",On my way,Group: Senior Member,Posts: 579,Joined: Feb 2012,,give a poll then u know its yes
damonlbs,"  Jul 11 2017, 02:49 PM",Casual,Group: Junior Member,Posts: 371,Joined: May 2005,From: KL,women have sixth sense
MadhavanR,"  Jul 11 2017, 02:49 PM",Getting Started,Group: Junior Member,Posts: 81,Joined: Dec 2005,,holi shit...najis style CBT case can still come ask help here...too much bad influence from 1MDB ni...
teehk_tee,"  Jul 11 2017, 02:51 PM",#crushingit ?,Group: Senior Member,"Posts: 5,200",Joined: Apr 2005,From: KUL/HKG/BKK/JKT,
koolio,"  Jul 11 2017, 03:27 PM",New Member,Group: New Member,Posts: 2,Joined: Sep 2015,,sounds more like he cheated and is attempting to find somebody to take the rap legally.
Rusty Nail,"  Jul 11 2017, 03:58 PM",Why am I still here?,Group: Senior Member,"Posts: 4,544",Joined: Jan 2003,From: Petaling Jaya,"Toobad it's serious kopitiam, can't spam"
