username,time,avatar_title,group,post_count,join_date,from,text
everest,"  Jul 19 2017, 08:40 AM, updated 5h ago",Getting Started,Group: Junior Member,Posts: 61,Joined: Sep 2007,,What age do you buy house?
titanz,"  Jul 19 2017, 08:41 AM",New Member,Group: Junior Member,Posts: 20,Joined: Jan 2012,,age 29
buysellaccount,"  Jul 19 2017, 08:41 AM",Getting Started,Group: Junior Member,Posts: 116,Joined: Oct 2011,,"26, 250k+27, 450k+29, 750k+"
iambloodymuch,"  Jul 19 2017, 08:42 AM",Getting Started,Group: Junior Member,Posts: 155,Joined: Jan 2016,From: behind you,25
beetch,"  Jul 19 2017, 08:44 AM",Getting Started,Group: Junior Member,Posts: 230,Joined: Jan 2003,,Age 23. 16 points old semi d at 290k.Damn cheap yo.Now? I only lulz at fresh grads. Habis liaoz.
nuke13,"  Jul 19 2017, 08:45 AM",Casual,Group: Junior Member,Posts: 388,Joined: Sep 2008,,31
beahappyman,"  Jul 19 2017, 08:46 AM",New Member,Group: Junior Member,Posts: 24,Joined: Jun 2015,,17.7
WhatMan,"  Jul 19 2017, 08:46 AM",Regular,Group: Senior Member,"Posts: 1,304",Joined: Oct 2010,,As soon as you are eligible for one.
gundamsp01,"  Jul 19 2017, 08:48 AM",Getting Started,Group: Junior Member,Posts: 104,Joined: Oct 2009,,"27, 500+"
popopi,"  Jul 19 2017, 08:49 AM",Casual,Group: Junior Member,Posts: 431,Joined: Apr 2007,,"32, 438k ... me poorfag."
ListenToTheAngin,"  Jul 19 2017, 08:50 AM",New Member,Group: Junior Member,Posts: 22,Joined: Jun 2015,,"33, still got no own house yet and staying with parent."
TheEvilMan,"  Jul 19 2017, 08:50 AM",? ???? ?,Group: Senior Member,Posts: 593,Joined: Nov 2011,,I BUY PEPPA PIG HOUSE
jasonloke,"  Jul 19 2017, 08:51 AM",Getting Started,Group: Junior Member,Posts: 206,Joined: Jan 2006,From: kuala lumpur,age 30
diversity,"  Jul 19 2017, 08:51 AM",Enthusiast,Group: Senior Member,Posts: 960,Joined: Sep 2009,,"23, DS landed freehold"
Zot,"  Jul 19 2017, 08:52 AM",Regular,Group: Senior Member,"Posts: 1,910",Joined: Mar 2014,,30+ ??? can't recall. Settled loan in 4 years for two houses
ihatemynahs,"  Jul 19 2017, 08:52 AM",New Member,Group: Junior Member,Posts: 24,Joined: Dec 2010,"From: Kota Tinggi, Johor",everest data farming again
Subang Nuclear Reactor,"  Jul 19 2017, 08:56 AM",Getting Started,Group: Junior Member,Posts: 64,Joined: Dec 2015,"From: Melbourne, Darwin, Guangzhou",55
LazyKurosaki,"  Jul 19 2017, 09:03 AM",Master of Donut,Group: Senior Member,Posts: 849,Joined: May 2010,From: Petaling Jaya,"24, applying one..duno cn approve or nt"
Cookie101,"  Jul 19 2017, 09:09 AM",Getting Started,Group: Junior Member,Posts: 91,Joined: Jul 2016,,25
taint8,"  Jul 19 2017, 09:12 AM",Getting Started,Group: Junior Member,Posts: 78,Joined: Aug 2009,,23
