column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12
Height of government irresponsibility and professional negligence not  to have legal representation in the US DOJ kleptocratic suits to forfeit US$1.7 billion of 1MDB-linked assets money-laundered from US$4.5 billion through American banks,20170801,1 Comment,"{SuperStringhg}{1 August 2017}{1:23 pm} Najib has admitted “lapses”, all wonder which one – the RM2.6 Billion that found in his private bank account (hence, Saudia donation is a lie – what is the penalty for Muslim?) or double payment to IPIC or ….many more lapses! No wonder Najib’s sycophants keep saying “move on from 1MDB” OR the latest from Tajuddin Abdul Rahman, paraphasing his words, “Why these opposition leaders making so much noise about 1MDB money. It’s only money. A few billion siphoned and stolen only. Drop in the ocean. No big deal la”. No Big Deal indeed for those with millions or billions stolen money in their bank account!!!",,,,,,,,,
"Call on Zahid Hamidi to resign as DPM and MP if  he is not prepared to uphold his oath as DPM and MP to “preserve, protect and defend” the Malaysian Constitution, including Article 4 on Malaysian Constitution as the supreme law of Malaysia",20170731,1 Comment,"{Bigjoe}{1 August 2017}{12:41 pm} I repeat, the real fear is not Najib winning but Zahid Hamidi becoming PM. Najib is incompetent, a thief, wrecker of institutions and laws but Zahid Hamidi is RUTHLESS, ARROGANT, INTELLECTUALLY EVEN MORE MEDIOCRE AND DELUDED, A ZEALOT.",,,,,,,,,
"With MCA and Gerakan joining more UMNO leaders “whistling in the dark” to hide their increasing panic,  14th General Election more likely this year than next",20170731,1 Comment,"{SuperStringhg}{1 August 2017}{1:11 pm} Remind of Hitler last days, coop up in his fuhrerbunker still directing is non-existent armies, dreaming of winning the wars he started. Yes, MCA, GERAKAN like Hitler, coop up in BN scandals, but dreaming of winning big. hahahaha…",,,,,,,,,
Ban on G25 Book on “Islam in a Constitutional Democracy” marks  Najib’s break with  five previous Prime Ministers and the rising influence of PAS President on government policy,20170730,1 Comment,"{good coolie}{31 July 2017}{12:26 pm} The message of the book can still be propagated to all Malaysians. It is time for the contributors (G25) to speak out even louder, now that their book has been banned by the UMNO-gomen.",,,,,,,,,
"Call on Malaysian youths regardless of race, religion or region to be the vanguard  of  a political hurricane of change, backed by two  political tsunamis, urban and rural, in the 14th General Election",20170730,2 Comments,{Bigjoe}{30 July 2017}{3:03 pm} Actually what the voters should think about is this.,{Bigjoe}{30 July 2017}{3:33 pm} Najib just gave a speech in Lipis that changing a govt is foolish and has severe consequences. Its true what he says. So the question really why UMNO/BN and Hadi’s PAS so pathetic and can’t get rid essentially a very insignificant person that is Najib?,,,,,,,,
Najib would have been found guilty in any consumer court for making false representations when  he claimed that UMNO does not practise the politics of fear  but spread the politics of hope,20170730,1 Comment,"{Bigjoe}{30 July 2017}{10:52 am} He just threatened Felda settlers, his entire campaign strategy is partnership with Hadi’s PAS to slander and fear mongering of DAP stoking Islamic insecurities, Zahid Hamidi just repeated long discredited war cry against DAP and “the lim dynasty”, even aslo stoke fear Mahathir will betray Reformist of Pakatan Rakyat.",,,,,,,,,
"Najib should clarify whether it is true  Xi Jinping, President of China will not be visiting Malaysia this year, removing the programme from his 14GE plans",20170729,2 Comments,"{Bigjoe}{29 July 2017}{9:04 pm} Zahid Hamidi making a discredited long ago war cry against DAP and “Lim dynasty” for GE 14 is a display of contempt UMNO has for its voters and members.  In his exhortation to his troops to keep blinders on and just charge at the wrong enemy, Zahid Hamidi is already eyeing the PM ship when Najib falls on his face.",{Bigjoe}{29 July 2017}{9:09 pm} Frankly UMNO members and voters can only be described as pathetic losers. They can’t even save themselves given even the best chance to.,,,,,,,,
"Challenge to Speaker  Pandikar to cite an instance from another  Commonwealth Parliament where the Speaker used sub judice rule over court proceeding in another country to stop parliamentary  question, debate  or scrutiny of a financial scandal",20170729,1 Comment,{Bigjoe}{29 July 2017}{2:43 pm} What is incredible is suddenly Pandikar are so concern with undermining the judicial system of the US of A who is supposedly conspiring to bring down our govt and attacking Islam.. Even monkey talk makes more sense.,,,,,,,,,
Challenge to Najib to emulate Lee Hsien Loong and have a no-holds barred debate in Parliament on the 1MDB scandal where he would answer all questions raised by MPs on the scandal,20170728,1 Comment,"{Bigjoe}{29 July 2017}{11:40 am} Najib will notice how he had fallen splat on his face with a captive audience in InvestKL, and to risk it with a Parliament baying for his blood, would be delusional of him.",,,,,,,,,
Can  the BN Sabah and Sarawak Ministers and MPs be trusted to uphold Sabah and Sarawak interests when they dare not openly declare their support for Malanjum as Chief Justice of Malaysia?,20170728,1 Comment,"{Bigjoe}{28 July 2017}{1:10 pm} I put it to Claudius Roman, he is wrong. A UMNO-Islamo Sabahan or Sarawakian or Sabahan with absolute loyalty to UMNO-Islamism will be made a CJ once one of them rise high enough through the ranks.",,,,,,,,,
