column0,column1,column2,column3,column4,column5,column6,column7,column8,column9
MCA can be reduced from a 7/11 party into a ¾ (tiga suku) party in the 14GE if it continues to allow UMNO President to play footsie with Hadi on the RUU355 bill,07/25/17,1 Comment,"{Bigjoe}{25 July 2017}{10:02 am} MCA is irrelevant even if there was no RUU 355. The issue is Sarawak and Sabah BN parties still relevant with RUU 355? The simple fact is a Vote for BN in Sarawak and Sabah is a vote for RUU355, Hadi’s PAS and the end of the Sarawak and Sabah way of life.",,,,,,
Najib’s ‘Global Movement of Moderates’ is a failure,07/24/17,1 Comment,{Bigjoe}{25 July 2017}{6:19 am} Najib exhorting Haj pilgrim “to pray Malaysia remain peaceful”. It’s time to make it clear to Najib he.must guarantee peaceful transition of govts if opposition win starting with NOT cheating on the election.,,,,,,
"Pribumi Bersatu is more Malaysian than UMNO, as former wants Malays to unite and work with other citizens as Malaysians, while the latter wants Malaysians to remain Malays, Chinese and Indians and is even trying to polarize the next elections as a battle between the Malays and Chinese",07/24/17,2 Comments,"{SuperStringhg}{25 July 2017}{1:09 pm} Mahathir has set the tone for PH – honest and transparent – in policy and management. The BN days of twist, turn, hide and steal will be over iF opposition win in GE14.","{Bigjoe}{25 July 2017}{2:40 pm} Najib claims the opposition is blowing 1MDB out of proportion. I say the opposition is UNDER blowing it.  The opposition keep talking about how much and hedonism and indulgence but they fail to put across how the abuse of power, bad precedence and institutional.destruction can and how likely it will destroy everything.",,,,,
"Each of the 100,000 Felda settlers would be allocated RM70,000 if the US$1.7 billion 1MDB-linked assets which US DOJ wanted to forfeit is allocated among the Felda settlers",07/23/17,2 Comments,"{Bigjoe}{24 July 2017}{2:09 am} USD$1.7billion is recoverable only, what was lost is 5X-8X, hundreds of thousands RM per Felda settlers targeted.","{SuperStringhg}{24 July 2017}{11:17 am} When a car is broken, we try to fix it, fix it and fix it until there will be a point that is beyond economic repair. UMNO/BN is in this position – Beyond Economic Repair and should be kept in Condemn Store for disposal!",,,,,
"Free advice to Najib and his propagandists  – be consistent and credible or all their propaganda campaign of lies, fake news and false information  will come to nought like MCA complaining about losing support of 85 per cent of Chinese voters in 13th General Election",07/23/17,4 Comments,"{Bigjoe}{23 July 2017}{11:09 am} Najib lying and inconsistent is something exploitable and it’s better he carry on.  The problem is when Hadi Awang does it, no one points it out either they do not notice or dare not say even if they do.",{SuperStringhg}{23 July 2017}{11:54 am} Must be careful with this Shahrizat Abdul Jalil woman because she can run down anyone with cows hide in high end condo!!!,"{FreeAsian}{23 July 2017}{2:51 pm} Shahrizat, the cow minister, has lost all credibility with her cows n condo act. Now she’s just spitting in the wind and it will all come back onto her own face.","{Bigjoe}{23 July 2017}{3:58 pm} Talk about inconsistency, Najib nows both threatens and bribe Felda settlers with money, basically threating the Felda settlers with contempt. “cash is king” being the rule of law.  ",,,
Najib in panic mode,07/21/17,1 Comment,{Bigjoe}{23 July 2017}{4:40 am} You have to hand it to UMNO for the blind loyalty they give to Najib. Seriously even Kim Jung In and Maduro does not compare. Mugabe is an amateur compared to Najib.,,,,,,
Malaysia Airlines’ latest losses occurred during Najib’s time,07/21/17,2 Comments,{Bigjoe}{21 July 2017}{7:22 am} But the truth is Najib selective memory of blaming is not confined to him and UMNO.  H,"{good coolie}{22 July 2017}{8:46 pm} So, Malaysian Airlines is making a loss! Come on, who expected otherwise?",,,,,
"Sad reflection on Najib not so much on Sarifuddin that the propaganda offensive against Mahathir and Pakatan Harapan leaders have reached a new low, scraping the bottom of the barrel, in personal attacks",07/20/17,3 Comments,{Bigjoe}{20 July 2017}{4:20 pm} Invoke survey says PH and UMNO/BN has the same level of Malay support while Hadi’s PAS has 14% of support down from about 20% a couple of months ago.,"{good coolie}{20 July 2017}{6:37 pm} Finally we’re paying homage to that wonderful animal, the dog.","{undertaker888}{20 July 2017}{8:36 pm} “If I give my son RM10, it is a normal transaction between father and son. But if my son buys drugs with the money and he is caught, then you cannot blame the father.”",,,,
Questions for Najib on the indictment of two French executives in connection with graft over Scorpene submarine sale to Malaysia fifteen years ago in  2002,07/19/17,1 Comment,"{good coolie}{20 July 2017}{6:44 pm} Why isn’t the gomen setting up a Royal Commission of Inquiry into the Wan Emdibi RM50 billion fiasco? Surely your question is a rhetorical one. “All is in your hands, Ah Mo1.” (Ellam Unggal Kayillay).",,,,,,
"If Apandi is so God-fearing, he should not be Attorney-General of a global kleptocracy",07/19/17,3 Comments,{Bigjoe}{19 July 2017}{10:43 am} Apandi Ali is a criminal. Period. A Malaysian judge has to be forced to rule on this.,"{Sallang}{19 July 2017}{1:49 pm} Do Malaysia have an impartial high court judge, like the legendary, black face Justice Pao?",{Bigjoe}{19 July 2017}{5:18 pm} So apparently a third of our student in university is open to be corrupted and people starting not to care about 1MDB.,,,,
