0,maraippo,"  Oct 8 2015, 04:34 PM, updated 11h ago",~PoPoPoPoPo~,Group: Senior Member,"Posts: 1,045",Joined: Jul 2008,From: Kami's Palace,"Ayam check k*ckass website so many new TV series new season started and also got new tv series1) Limitless - *Another genius solving crime with something extra kinda series*2) Gotham (New Season) - *Times when Bruce Wayne still small. Detective James Gordon is a hero**conflict becoming more complicated*» Click to show Spoiler - click again to hide... «3) Flash (New Season) - *typical superheroes series. indecisive hero kinda series*» Click to show Spoiler - click again to hide... «4) Arrow (New Season) - *typical superheroes series. indecisive hero kinda series*» Click to show Spoiler - click again to hide... «5) Fear of the Walking Dead - *prequel of The Walking Dead. Storyline since before everything started. idiot level like season 1 Walking Dead*» Click to show Spoiler - click again to hide... «6) Heroes Reborn - *New Heroes. New Mission. Save the Baby, Saves the World*» Click to show Spoiler - click again to hide... «7) Hannibal (S03 Completed) - *Hunting Hannibal Lecter**Some say this series is discontinued* » Click to show Spoiler - click again to hide... «8) Quantico - *No Review* *But many comment on HOT Priyanka Chopra  *» Click to show Spoiler - click again to hide... «9) Blindspot - *No Review*» Click to show Spoiler - click again to hide... «10) Blacklist - *MUST WATCH GOODING NO WATCH WILL REGRET FOR LIFE!* - jigoku» Click to show Spoiler - click again to hide... «11) Supernatural S11 - *no more demon hunting. more confusing. die then revive like game character cycle*12) Peaky Blinders - *No Review*13) Suits  - *Gooding *MUST WATCH!!!*14) Minority Report *Another genius solving crime with something extra kinda series*15) The Big Bang Theory - *Penny!! Penny!! Penny!!*16) Black Mirror - *Dark humour* *Mix reviews*17) Scandal - *Gooding**American political drama in the White House revolving an influential lady*18) Marvel agents of S.H.I.E.L.D -  - *Marvel agents. U like heroes u'll like this*19) CSI Cyber season 2  - *No Review*20) Narcos  - *Gooding*21) Mr Robot *Some say good, some say overrated*22) True Detective - *Good storyline*23) The Bastard Executioner - *No Review*24) iZombie - *Mustadio says GREAT.  So it must be GREAT* 25) Banshee - *Hnnnngggghhhh*26) The Last Man on Earth - *No Review*27) Ray Donovan - *Gooding*28) NCIS - *Gooding*29) Continuum  - *No Review*30) Empire - *No Review*31) Unreal - *abt what happened behind the scenes of a dating reality show (think:the bachelor), so damn funny*32) How to Get Away With Murder S1, very very good storyline33) Silicon Valley - *No Review*34) Walking Dead *Gooding*35) House of Lies *Gooding*36) Fargo - *Recommended by many. Dark humour*37) Jonathan Strange & Mr Norrell - *No Review*38) The Fall - *No Review*39) Sense8 - *Good storyline*40) Hand of God - *No Review*41) Person of Interest - *No Review*42) DOCTOR WHO - *Gooding*43) The Messenger - *No Review*44) Brooklyn Nine nine  - *No Review*45) Blood and oil - *No Review*46) The Strain - *No Review*47) Grimm - *Killing demons n ghost. For me not very nice*48) ZNation - *Gooding*49) Orphan Black - *Gooding*50) Vampire Diaries - *Gooding*51) Vikings - *GREAT!!!*MUST WATCH!!!*52) Broadwalk Empire - *Damn good HBO series if you into gangster/crime series like The Wire or The Sopranos*53) Homeland - *Gooding*54) The Killing - *No Review*55) Sons of Anarchy - *Seager says got tits but others say didnt see. Lots of guns n stuff*56) Agent X - *Gooding*57) The Player  - *No Review*58) Da Vinci's Demons - *IMDB rating: 8.1*59) Jessica Jones (Marvel) - Awek superhero. A lot of piap piap 60) Leftovers  - *No Review*61) Survivor Second Chance  - *Old losers of survivor series tries their luck again*62) You're The Worst  - *No Review*63) The Librarian - *No Review*64) The Magician -  *promosing new series. A bit like harry potter world where got 2 world fr normal human and magician (not wizard) *65) Nikita  - *No Review*66) Hawaii Five O - *What u expect, kinda CSI-ish series*67) The Last Ship -  *good review. About apocalypse, military, war*68) Ash vs Evil dead - *Gooding*69) Second Chance - *Gooding*70) Expanse -  - *Gooding*71) Shadow Hunters - *No Review*72) DC Legends of Tomorrow - *OK-OK la* *DC series sidekicks working together travel through time to battle villains*73) Marco Polo -  *a LOT of nudity and sex scene*74) Narcos -  *Documentary styled series*75) X-files -  *Mulder and Scully kambing back!!! *76) Wentworth - *Not bad*77) The People V. OJ Simpson - *very good rating from critics*""The murders of Nicole Brown Simpson and Ronald Goldman lead the LAPD to the home of O.J. Simpson.""78) Vinyl - *Gooding*79) Of Kings and Prophets - *No review*80) Damien - *No review*81) BETTER CALL SAUL - *Prequel to Breaking Bad, Mike still a badass character*82) 11.22.63 - *8.9 imdb rating*83) The 100 - *Gooding. Recommended to watch*84) Lucifer - *Lucifer steps out from hell and lives as human helping people*85) Billions - *Powerful people battle it out for moneh*86) Stan Lee's Lucky Man - *I'd suggest skip this one. Looks meh*87) Angel from hell - *Better skip this one as well*88) Colony - *About getting colonized and surviving. 7.4 imdb rating*89) Into the Badlands - *Bad ass movie* (mix of martial arts with supernatural and post- apocalyptic themes)90) Jekyll And Hyde - *No review*91) Grey's Anatomy -  *Gooding* - A medical drama with lots of personal stories and plot twists.92) The Frankenstein Chronicles - *No review*93) Supergirl - *Superman female cousin living daily life. Seems like more towards teenage viewers""94) Game Of Thrones -  *New season premiere. No need review. Damn Gooding*95) Criminal Mind - *Gooding. Discontinued*96) Elementary - *Gooding*97) The Night Manager - *Gooding*Hugh Laurie and Tom Hiddleston put on a bloody good show*98) House of Cards -  *GREAT!!!*Political drama surrounding White House*99) Camelot -  *about king arthur,  merlin epic story*100) 12 monkeys101) Damien102) Submission -  *piap piap piap*103) Shameless *Crazy family with all kinds of immorality*104) Girls - *piap piap piap*105) Penny dreadful106) Black sails107) Orange is  new black108) Stranger Things109) Broadchurch110) Quarry -  *Gooding*111) And Then There Were None -  *Classic mystery mini series. Gooding*112) Designated Survivor113) Lethal Weapon - *Gooding*114) Luke Cage - *Slow pace*115) Braindead - *Gooding*116) The OA - *Gooding*117) Halcyon -  *Gooding*118) Penny Dreadful -  *Gooding*119) 13 Reasons Why - *Gooding*120) The Mist - *Gooding*121) American Playboy - *Gooding*hnnnnggghhhh*122) The Night Manager - *Gooding*123) Brooklyn Nine Nine - *Funny police theme series*124) People of Earth - *Gooding*125) Broadchurch - *Gooding*126) Iron Fist - *Gooding*127) Man in high Castle - *Gooding*history nazi n japunis*128) Legion - *hate it or love it***Continue below***No Review either have no review or I haven't compile it yet. Will compile it from replies here. /k/ gives more honest review than outside ****List getting bigger. I will categorize it in alphabet later So nice   What else I missed eh? Or got any series to recommend? If got good series not listed come share it with /k/ ============================================Edit: Updated with the latest series running or just finished. Not including others like GoT, Better Call Saul and others that may premiere next year Got any other series currently running not listed ah? Ayam just watch familiar title only Kambing share with other /k/ to enjoy"
1,WaCKy-Angel,"  Oct 8 2015, 04:35 PM",PeACe~~,Group: Senior Member,"Posts: 15,541",Joined: Dec 2004,From: KL,What is Gotham and Hannibal about?
2,iceman31,"  Oct 8 2015, 04:35 PM",Mewtwo Fags,Group: Senior Member,"Posts: 2,604",Joined: Dec 2005,From: Ampang,"Blindspot,QuanticoBlacklist"
3,G_KeN,"  Oct 8 2015, 04:35 PM",~~Cheers love <3~~,Group: Senior Member,"Posts: 1,379",Joined: Dec 2007,,"all of the ones mentioned above r pretty meh lolif u want better quality drama, u should check out The leftovers, hbo series. not for everyone though"
4,Faidzal,"  Oct 8 2015, 04:36 PM",Getting Started,Group: Junior Member,Posts: 232,Joined: Aug 2008,From: From JB to KL!,quantico macam gooding
5,Muhammad Syukri,"  Oct 8 2015, 04:37 PM",Straight Outta Nowhere,Group: Senior Member,Posts: 639,Joined: Mar 2009,,Mana Peaky Blinders? TS pandan.
6,huzfah,"  Oct 8 2015, 04:37 PM",Getting Started,Group: Junior Member,Posts: 55,Joined: Apr 2011,,The blacklist season 3. Wohoo
7,nekkidgramma,"  Oct 8 2015, 04:38 PM",New Member,Group: Junior Member,Posts: 29,Joined: Jan 2015,,Still no Better Call Saul S2?
8,maraippo,"  Oct 8 2015, 04:39 PM",~PoPoPoPoPo~,Group: Senior Member,"Posts: 1,045",Joined: Jul 2008,From: Kami's Palace,"gotham - batman still kids. villains just starting to become a villain. latest season, bruce wayne just discover his batcave. joker, catwoman, penguin, riddle, two face is introed slowlyhannibal - about psycho serial killer looked very gentlement but kill his victim like art and eat the victim. some victim eaten in front of their own eyes while being kept alive. not for the faint of heart==============================================Continuation other series:11) Supernatural S1112) Peaky Blinders» Click to show Spoiler - click again to hide... «13) Suits » Click to show Spoiler - click again to hide... «14) Minority Report» Click to show Spoiler - click again to hide... «15) The Big Bang Theory16) Homeland » Click to show Spoiler - click again to hide... «17) Lucifer 18) Marvel agents of S.H.I.E.L.D19) CSI Cyber season 2 » Click to show Spoiler - click again to hide... «20) Narcos 21) Mr Robot» Click to show Spoiler - click again to hide... «22) True Detective» Click to show Spoiler - click again to hide... «"
9,tiestoycc,"  Oct 8 2015, 04:39 PM",Getting Started,Group: Junior Member,Posts: 83,Joined: Dec 2006,,Suits
